Ignore,DCLG Codes,ONS Codes,County and Local Authority area ,Region,Number of households 2008 mid-year estimate) (000s),White,Black or Black British,Asian or Asian British,Mixed,Chinese or Other Ethnic Group,Ethnic Group Not Stated,Total,No. per 1000.0 h/holds,Eligible homeless and in priority need but intentionally ,Eligible homeless but not in priority need,Eligible but not homeless ,Total decisions,Bed and breakfast (including shared annexe),Hostels (including women's refuges),LA/HA stock,Private sector leased (by LA or HA),Other Types (inc private landlord),Total in TA,No. per 1000.0 h/holds,Duty Owed but no accommodation has been secured
239.00,D1780,00MS,Southampton,SOUTH EAST,98.00,52.00,1.00,2.00,0.00,0.00,0.00,55.00,0.60,11.00,0.00,6.00,72.00,0.00,0.00,75.00,14.00,47.00,136.00,1.40,0.00
258.00,X1735,24UH,Havant,SOUTH EAST,50.00,31.00,0.00,0.00,0.00,0.00,0.00,31.00,0.60,2.00,12.00,0.00,45.00,0.00,0.00,0.00,10.00,11.00,21.00,0.40,0.00
285.00,Q3630,43UG,Runnymede,SOUTH EAST,34.00,18.00,1.00,0.00,0.00,0.00,0.00,19.00,0.60,2.00,0.00,3.00,24.00,0.00,9.00,0.00,0.00,14.00,23.00,0.70,0.00
291.00,Y3805,45UB,Adur,SOUTH EAST,27.00,16.00,0.00,0.00,0.00,1.00,0.00,17.00,0.60,1.00,3.00,3.00,24.00,4.00,0.00,23.00,55.00,7.00,89.00,3.30,5.00
328.00,U1620,23UE,Gloucester,SOUTH WEST,50.00,19.00,3.00,1.00,1.00,3.00,2.00,29.00,0.60,8.00,11.00,47.00,95.00,17.00,25.00,13.00,17.00,10.00,82.00,1.60,10.00
3.00,X1355,00EJ,Durham,NORTH EAST,216.00,103.00,0.00,1.00,1.00,0.00,0.00,105.00,0.50,16.00,48.00,66.00,235.00,4.00,5.00,21.00,0.00,0.00,30.00,0.10,80.00
32.00,U4230,00BR,Salford,NORTH WEST,98.00,31.00,5.00,1.00,3.00,8.00,2.00,50.00,0.50,5.00,6.00,47.00,108.00,3.00,1.00,28.00,0.00,0.00,32.00,0.30,53.00
37.00,Z2315,30UD,Burnley,NORTH WEST,36.00,17.00,0.00,0.00,0.00,0.00,0.00,17.00,0.50,2.00,20.00,7.00,46.00,2.00,4.00,0.00,0.00,0.00,6.00,0.20,4.00
54.00,2.00,D,YORKSHIRE AND THE HUMBER,YORKSHIRE AND THE HUMBER,2203.00,880.00,70.00,60.00,20.00,30.00,60.00,1110.00,0.50,100.00,950.00,1370.00,3540.00,80.00,190.00,480.00,120.00,30.00,900.00,0.40,580.00
73.00,J4715,00CZ,Kirklees,YORKSHIRE AND THE HUMBER,167.00,45.00,8.00,12.00,4.00,5.00,3.00,77.00,0.50,13.00,15.00,21.00,126.00,6.00,4.00,57.00,0.00,0.00,67.00,0.40,2.00
76.00,3.00,E,EAST MIDLANDS,EAST MIDLANDS,1868.00,670.00,60.00,30.00,30.00,10.00,60.00,850.00,0.50,130.00,330.00,260.00,1560.00,80.00,220.00,300.00,80.00,10.00,680.00,0.40,280.00
77.00,C1055,00FK,Derby,EAST MIDLANDS,102.00,27.00,9.00,7.00,4.00,1.00,0.00,48.00,0.50,3.00,50.00,2.00,103.00,1.00,0.00,27.00,0.00,0.00,28.00,0.30,41.00
84.00,P1045,17UF,Derbyshire Dales,EAST MIDLANDS,30.00,14.00,0.00,0.00,0.00,0.00,0.00,14.00,0.50,2.00,16.00,13.00,45.00,0.00,0.00,10.00,0.00,0.00,10.00,0.30,13.00
121.00,C3240,00GF,Telford and Wrekin,WEST MIDLANDS,67.00,29.00,2.00,0.00,0.00,0.00,0.00,31.00,0.50,2.00,1.00,2.00,36.00,8.00,5.00,9.00,29.00,4.00,55.00,0.80,0.00
129.00,Z3445,41UK,Tamworth,WEST MIDLANDS,31.00,15.00,0.00,0.00,0.00,0.00,1.00,16.00,0.50,1.00,2.00,7.00,26.00,0.00,0.00,1.00,4.00,0.00,5.00,0.20,0.00
131.00,W3710,44UC,Nuneaton and Bedworth,WEST MIDLANDS,51.00,25.00,1.00,1.00,0.00,0.00,0.00,27.00,0.50,7.00,0.00,3.00,37.00,0.00,6.00,0.00,0.00,0.00,6.00,0.10,0.00
132.00,E3715,44UD,Rugby,WEST MIDLANDS,39.00,19.00,1.00,1.00,0.00,0.00,0.00,21.00,0.50,5.00,0.00,2.00,28.00,0.00,0.00,7.00,0.00,0.00,7.00,0.20,13.00
143.00,J1860,47UC,Malvern Hills,WEST MIDLANDS,32.00,16.00,0.00,0.00,0.00,0.00,0.00,16.00,0.50,0.00,1.00,1.00,18.00,0.00,0.00,0.00,0.00,8.00,8.00,0.30,8.00
148.00,4.00,G,EAST of ENGLAND,EAST of ENGLAND,2406.00,900.00,100.00,70.00,20.00,20.00,40.00,1150.00,0.50,190.00,220.00,480.00,2030.00,200.00,540.00,900.00,710.00,250.00,2600.00,1.10,180.00
152.00,J0540,00JA,Peterborough,EAST of ENGLAND,72.00,29.00,6.00,3.00,0.00,0.00,1.00,39.00,0.50,31.00,66.00,75.00,211.00,1.00,65.00,0.00,0.00,0.00,66.00,0.90,0.00
161.00,Z1510,22UC,Braintree,EAST of ENGLAND,60.00,25.00,2.00,2.00,0.00,1.00,0.00,30.00,0.50,6.00,9.00,15.00,60.00,0.00,11.00,21.00,0.00,0.00,32.00,0.50,17.00
164.00,W1525,22UF,Chelmsford,EAST of ENGLAND,70.00,31.00,1.00,1.00,1.00,1.00,0.00,35.00,0.50,4.00,4.00,12.00,55.00,7.00,16.00,8.00,0.00,14.00,45.00,0.60,12.00
184.00,U2615,33UD,Great Yarmouth,EAST of ENGLAND,42.00,--,--,--,--,--,--,21.00,0.50,--,--,--,--,--,--,--,--,--,67.00,1.60,--
187.00,G2625,33UG,Norwich,EAST of ENGLAND,62.00,28.00,3.00,0.00,0.00,2.00,0.00,33.00,0.50,18.00,19.00,17.00,87.00,17.00,2.00,0.00,0.00,21.00,40.00,0.60,21.00
191.00,R3515,42UD,Ipswich,EAST of ENGLAND,55.00,14.00,3.00,0.00,2.00,1.00,6.00,26.00,0.50,3.00,0.00,4.00,33.00,5.00,18.00,16.00,0.00,0.00,39.00,0.70,0.00
198.00,K5030,00AA,City of London,LONDON,7.00,1.00,2.00,0.00,0.00,0.00,0.00,3.00,0.50,0.00,0.00,0.00,3.00,2.00,0.00,0.00,0.00,1.00,3.00,0.40,0.00
217.00,A5270,00AJ,Ealing,LONDON,124.00,21.00,25.00,9.00,1.00,3.00,4.00,63.00,0.50,14.00,24.00,53.00,154.00,22.00,121.00,0.00,911.00,18.00,1072.00,8.60,71.00
219.00,E5330,00AL,Greenwich,LONDON,97.00,27.00,15.00,1.00,1.00,2.00,0.00,46.00,0.50,10.00,40.00,8.00,104.00,17.00,2.00,38.00,78.00,39.00,174.00,1.80,18.00
222.00,R5510,00AS,Hillingdon,LONDON,102.00,16.00,16.00,10.00,1.00,3.00,3.00,49.00,0.50,19.00,4.00,37.00,109.00,35.00,0.00,29.00,825.00,53.00,942.00,9.20,21.00
