Ignore,DCLG Codes,ONS Codes,County and Local Authority area ,Region,Number of households 2008 mid-year estimate) (000s),White,Black or Black British,Asian or Asian British,Mixed,Chinese or Other Ethnic Group,Ethnic Group Not Stated,Total,No. per 1000.0 h/holds,Eligible homeless and in priority need but intentionally ,Eligible homeless but not in priority need,Eligible but not homeless ,Total decisions,Bed and breakfast (including shared annexe),Hostels (including women's refuges),LA/HA stock,Private sector leased (by LA or HA),Other Types (inc private landlord),Total in TA,No. per 1000.0 h/holds,Duty Owed but no accommodation has been secured
158,H0520,12UE,Huntingdonshire,EAST of ENGLAND,69,33,1,0,1,0,4,39,0.6,2,0,17,58,19,31,9,17,0,76,1.1,6
186,Y2620,33UF,North Norfolk,EAST of ENGLAND,46,27,0,1,0,0,0,28,0.6,2,9,4,43,0,0,6,0,4,10,0.2,0
239,D1780,00MS,Southampton UA,SOUTH EAST,98,52,1,2,0,0,0,55,0.6,11,0,6,72,0,0,75,14,47,136,1.4,0
258,X1735,24UH,Havant,SOUTH EAST,50,31,0,0,0,0,0,31,0.6,2,12,0,45,0,0,0,10,11,21,0.4,0
285,Q3630,43UG,Runnymede,SOUTH EAST,34,18,1,0,0,0,0,19,0.6,2,0,3,24,0,9,0,0,14,23,0.7,0
291,Y3805,45UB,Adur,SOUTH EAST,27,16,0,0,0,1,0,17,0.6,1,3,3,24,4,0,23,55,7,89,3.3,5
328,U1620,23UE,Gloucester,SOUTH WEST,50,19,3,1,1,3,2,29,0.6,8,11,47,95,17,25,13,17,10,82,1.6,10
3,X1355,00EJ,Durham UA,NORTH EAST,216,103,0,1,1,0,0,105,0.5,16,48,66,235,4,5,21,0,0,30,0.1,80
32,U4230,00BR,Salford,NORTH WEST,98,31,5,1,3,8,2,50,0.5,5,6,47,108,3,1,28,0,0,32,0.3,53
37,Z2315,30UD,Burnley,NORTH WEST,36,17,0,0,0,0,0,17,0.5,2,20,7,46,2,4,0,0,0,6,0.2,4
54,2,D,YORKSHIRE AND THE HUMBER,YORKSHIRE AND THE HUMBER,"2,203",880,70,60,20,30,60,"1,110",0.5,100,950,"1,370","3,540",80,190,480,120,30,900,0.4,580
73,J4715,00CZ,Kirklees,YORKSHIRE AND THE HUMBER,167,45,8,12,4,5,3,77,0.5,13,15,21,126,6,4,57,0,0,67,0.4,2
76,3,E,EAST MIDLANDS,EAST MIDLANDS,"1,868",670,60,30,30,10,60,850,0.5,130,330,260,"1,560",80,220,300,80,10,680,0.4,280
